"title","author","journal","number","cites","year","cid","pubid","complete_authors_fetched"
"Coral skeletal proxy records database for the Great Barrier Reef, Australia","AK Arzey, HV McGregor, TR Clark, JM Webster, SE Lewis, J Mallela, NP McKay, HW Fahey, S Chakraborty, TB Razak, MJ Fischer","Earth System Science Data","16 (10), 4869-4930",1,2024,"2292505695804832757","KI9T_ytC6pkC","TRUE"
"A Bayesian approach to integrating radiometric dating and varve measurements in intermittently indistinct sediment","SH Arcusa, NP McKay, C Wiman, S Patterson, SE Munoz, MA Aquino-López","Geochronology","4 (1), 409-433",1,2022,"11416120999722017963,7394382455998392305","Og1tA8FjbJAC","TRUE"
"Accelerating progress in proxy-model synthesis using open standards","G Hakim, S Dee, J Emile-Geay, N McKay, K Rehfeld","PAGES Magazine","",1,2018,"3367396857962325942","JP7YXuLIOvAC","TRUE"
"A novel multiproxy approach: The PAGES North America 2k working group","N McKay","DUST","24, 100",1,2015,"9657156103600155726","UmS_249rOGwC","TRUE"
"Early Holocene atmospheric circulation changes over northern Europe based on isotopic and biomarker evidence from Kola Peninsula","H Holtzman, EK Thomas, M Erb, L Marshall, IS Castañeda, D Kaufman, NP McKay, M Melles","Paleoceanography and Paleoclimatology","40 (3), e2024PA005076",0,2025,NA,"vVJNg6_NJEsC","TRUE"
"A global Data Assimilation of Moisture Patterns from 21 000–0 BP (DAMP-21ka) using lake level proxy records","CL Hancock, MP Erb, NP McKay, SG Dee, RF Ivanovic","Climate of the Past","20 (12), 2663-2684",0,2024,NA,"PuOEWVtPfzwC","TRUE"
"Database interoperability, uncertainty quantification and reproducible workflows in the paleogeosciences","N McKay, J Emile-Geay, D Khider","Earthcube Annual Meeting","2022",0,2022,NA,"oTdOBqtIf_kC","TRUE"
"PaleoRec: A sequential recommender system for the annotation of paleoclimate datasets","S Manety, D Khider, C Heiser, N McKay, J Emile-Geay, C Routson","Environmental Data Science","1, e4",0,2022,NA,"lg2tdxc6qMwC","TRUE"
"A 15,800 year record of productivity, carbon accumulation and environmental change at Eight Mile Lake and its catchment, central Alaska","LP Marshall, DS Kaufman, NH Bigelow, MSM Bolton, EC Cohen, BM Damon, BP Finney, BJL Jensen, NP McKay, MJ Medina, SE Muñoz, EAG Schuur, M Żarczyński","Arctic, Antarctic, and Alpine Research","57 (1), 2523083",0,2025,NA,"JH5k92_tO-AC","TRUE"
"Holocene global mean surface temperature, a multi-method reconstruction approach","D Kaufman, N McKay, C Routson, M Erb, C Dätwyler, PS Sommer, O Heiri, B Davis","Scientific data","7 (1), 201",366,2020,"13390104755570631133","t-hv7AR41mYC","TRUE"
"Biogenic silica concentration as a high‐resolution, quantitative temperature proxy at Hallet Lake, south‐central Alaska","NP McKay, DS Kaufman, N Michelutti","Geophysical Research Letters","35 (5)",94,2008,"13698298135725104802","u-x6o8ySG0sC","TRUE"
"The onset and rate of Holocene Neoglacial cooling in the Arctic","NP McKay, DS Kaufman, CC Routson, MP Erb, PD Zander","Geophysical Research Letters","45 (22), 12,487-12,496",90,2018,"2617358957745542382","wE-fMHVdjMkC","TRUE"
